cell_type	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50
CD4 T	-4.274503	0.333998	-0.181801	-2.341402	-0.617043	0.267338	1.194460	-1.757823	4.397742	-1.474078	-0.560050	0.712849	1.773004	1.257635	1.687889	-1.373981	0.343016	1.442286	-1.678697	3.278690	-2.232485	-0.373576	-1.464830	-0.090147	-1.270762	-4.454763	0.448235	1.722164	0.808192	1.022421	-1.737863	-1.278125	0.060278	-0.493351	1.793203	-1.384428	-0.735658	0.763959	-0.150731	-1.512233	0.973826	0.048938	-1.217451	1.762978	1.185692	3.042025	-1.303500	-0.491302	0.396675	-2.747380
CD14 Monocytes	-0.404603	-4.913968	-2.246865	9.034323	-2.797595	-2.201066	1.441261	0.620005	0.491120	0.478146	-1.307607	-0.425763	2.926922	3.148093	0.182838	-2.606340	-1.908699	0.715606	-1.516580	-2.447885	-1.915427	-3.557376	-1.483400	-2.421563	-1.630188	0.213176	-0.135340	1.964364	0.290761	2.334474	-0.701731	-2.597802	1.617917	-0.211074	1.691987	2.540322	-0.261047	-1.271879	2.899831	0.140263	-1.265185	0.963440	0.739533	-2.666864	0.472403	1.129198	-2.041558	-1.187700	-2.051004	2.125027
CD4 T	-2.021735	2.272101	0.562202	-2.281129	-4.268410	0.238849	0.581158	-2.725775	0.268699	-0.673800	-2.600498	0.748804	0.993050	0.335920	3.355818	1.040162	2.357980	-1.770677	1.188727	-1.081496	-2.000792	2.057998	-0.562638	-0.483842	-0.488534	0.466278	-0.506003	-0.403495	-0.577170	2.387240	-0.987432	2.314344	-2.217313	-0.552705	-0.807594	0.909180	-1.921045	-1.908718	-2.059350	-0.384615	-0.085304	0.135075	2.084484	-0.448550	-2.852198	2.026084	-0.573685	1.834930	-0.118963	3.426557
B cells	10.176983	0.759740	-0.879781	0.328750	-0.311497	2.748763	0.542688	0.730777	0.116464	0.676629	-2.496486	1.245111	0.082444	-0.258665	-1.468507	0.205644	0.686402	1.058209	-0.229963	0.542590	-1.563337	-0.453156	1.408217	-0.034455	0.035449	-2.647814	-0.555145	-1.153324	-1.098330	-0.431112	-3.048327	0.122475	0.151023	-0.159736	0.952002	0.696217	-1.828272	-1.435135	-1.005960	-1.091359	-0.462313	0.211007	1.690874	2.322525	0.317115	0.574607	0.877768	1.030230	2.999627	0.513659
CD8 T	-2.502048	6.755974	-0.018911	3.424568	6.998268	0.944208	-4.732696	0.451549	-0.842218	-0.304013	-0.390435	0.684021	2.948071	2.744651	1.571458	-0.052899	0.546646	-2.630330	2.065444	-0.971559	1.029855	2.075545	-2.423869	1.488652	0.597699	-0.981462	-0.711683	0.652857	-0.088417	2.427065	3.202849	0.327657	2.948025	1.806215	-3.000618	-1.084725	1.039484	-0.012975	-1.124522	-0.485128	-2.987261	-2.288650	1.663634	-1.043497	0.957883	-1.894669	-0.184157	-0.536622	-3.433066	3.905935
CD4 T	-2.309381	-1.856329	-0.712685	-2.332249	-1.434300	-2.691192	-1.063568	0.498997	-0.094125	0.253008	-1.514223	-0.480669	1.542146	0.996023	1.127986	0.216512	-1.756878	1.119647	-0.473790	-1.711706	-0.874676	0.121685	0.302583	4.442273	-2.466232	-1.232782	1.132060	4.345172	-2.895906	-3.838368	-3.605271	5.683388	0.171720	-0.592151	1.680454	-4.817151	-0.851922	-0.812361	-0.329827	-1.491587	1.138098	-5.079837	3.515740	-1.973949	1.810891	1.949837	-0.283817	0.645653	-1.165294	1.954760
CD4 T	-3.879233	2.504787	-0.040093	-1.324335	2.158915	-0.781417	2.034603	1.037921	0.062194	-0.839152	0.693913	-1.904312	-0.984025	-0.365929	0.931745	-0.050736	1.634865	-2.195814	0.245303	-0.064298	-0.749392	2.302408	-1.465830	0.260178	0.887910	4.501060	-1.043641	-3.835459	-0.550984	1.870481	0.814488	1.559230	1.088413	-0.665122	-1.356197	-2.092580	0.231416	1.911253	0.824122	0.823301	-0.126203	0.735376	-1.158035	1.086358	-0.389321	-1.415158	1.074322	2.048035	-1.271892	1.887599
CD4 T	-3.867389	3.130856	0.607849	-1.287346	-0.536173	0.256327	3.923082	-1.078916	0.261564	0.938004	-0.227712	1.963143	1.340937	0.076617	1.675391	4.062872	1.735035	-1.098895	0.845708	-1.754461	-0.025872	1.476722	-5.483974	-0.676692	0.479914	-0.297703	-0.414116	-2.155349	3.131741	-0.195557	1.406649	-1.985346	0.925187	-1.662949	0.016853	-1.560875	-1.394062	-1.484312	0.102982	1.437906	3.301502	0.362899	0.864815	2.558145	0.945728	-0.954250	-1.648438	2.741511	-1.287651	1.958673
CD8 T	-4.396193	-0.621698	0.027114	0.272701	3.240944	1.462595	4.370772	0.359269	1.517437	-2.281188	-0.841024	0.049403	0.306868	-2.677272	0.838923	-1.931310	0.899252	-1.483261	-1.833602	-0.184473	-1.108716	-0.842127	-0.488644	1.504980	0.311961	-2.860997	1.465063	-0.741698	-2.305342	-1.599003	0.631860	0.515483	0.889992	2.008175	0.151720	-1.542749	-2.135888	-0.522228	-1.378357	0.089358	-0.279630	-0.178711	-0.512089	1.561978	-0.420440	0.179904	0.290508	0.323972	2.091655	-2.250349
B cells	4.842733	-1.230068	0.857209	-2.112221	2.602174	5.821395	0.131096	2.328390	1.918411	-0.782977	0.338799	0.419518	1.678431	-2.052498	0.880893	0.930883	0.362092	0.670324	1.507541	-0.886047	-1.107739	-1.396531	1.834331	-0.868596	-1.728899	-0.292583	-0.308660	-1.685560	-0.216618	-1.415168	1.253052	-0.729672	1.891732	-0.214666	-1.113538	0.378936	-0.041469	0.697888	-0.601924	-0.178207	-1.185980	-0.178236	0.536629	0.241599	1.815511	-2.434466	2.698370	-0.367399	-2.062421	-2.214565
CD14 Monocytes	-1.855409	-5.713273	-1.524070	6.722762	-2.733592	-2.548569	1.641000	0.771362	-2.351335	-0.251742	-1.458743	0.593323	3.172117	0.857243	3.264350	-0.332386	0.344649	-0.760483	-1.197300	-1.686992	-0.536116	-1.054664	-2.022906	-2.476955	0.849154	-0.655177	-0.043777	-0.971585	-1.900871	2.346673	-1.715278	-0.459755	2.008087	3.215367	2.838635	1.023450	-0.558623	-2.412339	-0.882376	-1.817028	-2.046502	-1.427562	3.208159	-0.960624	-1.223677	-0.113802	-0.210474	1.408918	2.339265	2.610288
CD4 T	-4.115608	-1.717085	-0.449191	-3.462757	-0.014197	-0.167069	-0.961716	-0.139984	0.325581	0.989218	1.477321	1.789280	-0.757108	0.035702	-0.726255	0.966991	0.518514	1.290896	-0.414816	-1.896804	-1.726029	0.603252	-0.225378	-0.899296	-0.812526	1.249244	1.266898	-0.732900	0.715225	-0.256636	0.680488	-0.787614	1.244738	-0.576437	-0.436478	0.003155	-1.214351	-0.346002	0.260849	0.437425	0.909356	0.680657	-2.032004	0.618930	2.188818	1.026834	-0.654384	-0.063702	-2.399680	-0.777690
CD4 T	-3.379608	-0.343665	0.276260	-3.707241	-1.368221	0.885293	-1.368018	0.010171	-0.154577	2.260884	-0.031115	-1.016084	0.731762	1.380883	1.524811	1.682797	2.274677	0.874797	2.683919	-0.587810	-0.091202	0.735151	1.836574	-0.217271	1.039088	1.467257	-0.699906	3.152828	-0.912346	1.469208	2.006503	-0.147618	2.439807	2.087003	-1.987833	-1.410682	-0.607295	1.407635	-1.320833	0.295269	1.303196	1.716664	-1.415508	0.030965	-2.298978	-1.983974	0.517998	-2.431924	-1.185351	-1.061541
B cells	11.017927	0.820446	-0.544873	-2.054283	1.161919	-1.275593	-0.242804	-1.230058	0.516320	0.520125	2.273096	-0.453137	0.638880	2.024420	1.534239	-1.943504	-0.663839	0.006333	0.264938	0.750157	0.568551	0.352716	0.852326	-0.445165	-0.673475	-1.333588	0.926566	-1.299646	-1.468075	0.842264	-1.816757	-1.087799	-2.181881	0.000553	0.469717	-0.456531	-0.791245	0.050025	-0.909390	1.177355	2.277155	0.162012	0.074926	-0.024535	0.331480	-1.799068	-0.011574	2.444306	1.075703	-0.452607
CD8 T	-5.847813	-0.193663	0.389027	-2.848390	4.395141	0.190905	4.269989	1.574419	0.029640	0.497913	0.268992	0.078718	0.801123	0.313032	2.678801	-1.154142	2.117855	-0.360722	1.287564	0.665322	0.196423	0.700585	-1.352980	0.341548	0.685168	-1.411619	0.798032	-0.387212	0.196292	-0.852180	-0.334693	0.899622	0.506951	-1.038766	0.391275	1.707679	-0.466842	0.600541	0.510873	0.685984	-0.770198	-0.782825	0.175851	-2.126053	1.006047	-0.742705	1.282914	-2.221856	0.399686	0.061852
CD4 T	-4.556274	-3.322463	0.013419	-3.294487	4.040412	1.440088	0.451010	-0.090358	0.457031	0.982844	-1.025290	0.794829	0.999463	1.087687	-1.099926	1.799126	0.179064	0.102729	0.345710	-0.486188	-2.047925	0.162622	-0.335693	-0.609062	-0.492297	0.323987	-0.041209	-2.325456	0.402402	-0.450218	-0.270932	-0.568989	0.561345	0.284194	-0.659440	0.784855	0.647505	-0.604846	-1.058455	-1.201465	-0.038766	-0.631846	-0.661173	-0.131698	-0.501344	-0.582000	0.173768	-0.650362	1.838523	0.974492
B cells	13.028103	3.009091	-1.420243	0.911587	-2.140351	-0.316663	0.703962	-0.289489	-1.243775	2.767049	-0.431454	1.222755	-0.272369	-2.984361	-0.774004	-1.280842	2.136635	-0.623936	-2.422999	0.060332	-1.029776	-1.176983	-0.255540	-1.470498	1.607345	-1.070657	0.142097	-0.030707	3.056358	-0.120637	-2.094243	-0.244886	-1.076290	-0.388020	1.105202	0.452578	3.174409	-1.595995	0.941359	-0.074295	-0.352559	1.050766	0.299898	-2.001032	-0.346165	2.157844	0.122316	1.020694	0.126496	-0.772889
CD4 T	-4.342525	0.384132	-0.075120	-2.257063	-2.696922	-0.113830	-0.047245	-0.436418	0.147944	-1.306998	-0.760695	-1.124511	1.162885	0.821132	1.616692	-1.116671	-2.011838	-1.482076	2.856870	-0.738603	-0.871748	1.163876	0.253880	-0.250492	0.779746	-0.983221	2.560245	-1.214163	-0.291689	1.199263	1.152095	-1.321969	1.099632	-0.323393	-2.722868	0.830423	1.074124	-0.581079	1.288347	-2.011799	0.442505	-1.359104	-0.990964	0.336593	0.115506	0.015380	1.631171	-3.887600	0.232002	0.382171
CD14 Monocytes	-1.818306	-2.932581	-0.667641	6.233641	-4.336023	-2.518707	-0.433279	0.125421	1.132754	0.783936	0.869950	1.947384	0.663743	1.703645	2.173393	-1.292343	-0.045298	1.828964	-1.330669	2.599740	2.195026	0.889840	1.844517	-1.794287	-3.051216	-1.338477	-0.325042	0.615371	-1.924387	0.525641	-1.389026	-2.252679	-0.494855	-1.072177	2.395317	1.710255	-0.371481	0.169965	-0.536105	-0.913795	-1.503009	2.310399	0.959873	1.678476	0.223890	-1.035789	-0.201318	0.614131	-0.160517	0.931484
CD14 Monocytes	-3.191599	-8.652616	-1.937820	6.321952	2.957933	0.934400	-0.792734	-0.357378	-1.728028	-0.856587	-0.919487	-1.538335	-1.545647	-0.936149	-1.262567	-1.667930	-0.574637	-2.706228	-0.172974	3.145944	1.166440	0.464050	-1.661642	3.848185	-0.746647	-2.307065	-1.356698	1.662755	1.464234	0.446253	-0.708762	2.147835	-1.242476	1.112151	2.687022	0.974627	0.783832	2.479611	1.687458	0.837535	0.979404	0.470886	3.026130	0.401160	0.565480	0.643287	-0.816452	1.410987	2.427990	-1.974250
CD14 Monocytes	-2.770444	-5.232390	-1.946130	7.498019	-3.417031	-0.314922	-0.433073	-2.389419	-0.273450	-0.169857	-0.141712	-1.072294	3.043326	-0.796964	0.342812	4.924457	2.441352	2.139089	3.546452	-0.381253	2.417708	0.800249	0.749686	-2.333080	-0.730733	2.557997	0.414421	-0.381286	2.534265	-0.529362	0.899507	1.600629	-2.410965	-2.128052	1.998325	2.447470	1.393799	1.156985	-0.555717	-1.577307	-1.404567	-0.635691	-0.595491	2.792126	1.341628	-4.546486	1.810950	0.358834	1.469287	1.145007
CD4 T	-3.759579	-4.108602	0.458950	-4.036026	4.619642	2.491260	-1.646925	2.442430	0.661100	-0.413536	-0.142376	-0.392083	2.361021	2.121394	0.438855	-1.090323	0.102691	-1.247140	0.088930	0.361568	1.248242	-0.091482	1.160493	-0.156423	0.182319	0.439929	-1.329350	-0.284648	0.621468	0.444587	0.405165	0.439827	-0.605177	0.427371	-1.415709	1.117434	0.260069	-2.072890	-0.592938	-0.167449	1.004313	-0.814684	-0.117241	-0.974367	1.500942	0.881377	-0.666969	0.965624	-0.934855	0.382816
B cells	8.901125	-0.104111	-0.731965	-2.539987	3.066951	-1.504213	0.088718	-1.866509	-3.015722	-2.216248	1.379230	-1.436570	-1.522140	0.068729	0.475610	-0.662057	0.094916	1.253157	-0.160163	-0.050336	-0.554983	0.957751	1.312888	-2.897728	1.419804	0.160312	-1.650274	0.395687	0.699856	0.392663	-3.063018	-0.478644	0.346903	0.422615	-0.828830	1.994602	-3.075716	2.027088	0.354852	-1.020644	0.341770	-2.361698	-0.601429	-0.460611	1.435933	-0.622945	-0.233815	-0.979570	-0.262171	0.362154
